molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL5414850,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(CCCN3C(=O)c4ccccc4C3=O)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,801.8520000000004,4.645600000000003,2.0,10.0,7.113509274827518
CHEMBL5413111,COc1ccc(S(=O)(=O)N(CC(N)=O)c2cc(CCC(=O)O)c(N(CC(N)=O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,684.7490000000003,2.235400000000002,3.0,9.0,6.790484985457369
CHEMBL5424133,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(CCC(=O)NC(C)C)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,727.8140000000002,3.8740000000000023,3.0,9.0,6.991399828238082
CHEMBL5394501,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(CCC(=O)N3CCOCC3)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,755.8240000000004,3.2082000000000024,2.0,10.0,7.060480747381382
CHEMBL5434743,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(CCC(N)=O)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,685.7330000000003,2.8347000000000016,3.0,9.0,6.966576244513051
CHEMBL5428263,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(CCCN(C)Cc3ccccc3)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,775.9020000000003,5.481400000000004,2.0,9.0,7.113509274827518
CHEMBL4167793,Cc1cccc2c1CCN(C(=O)[C@@H]1CCCC[C@@H]1C(=O)O)[C@@H]2CN1C(=O)c2ccccc2C1=O,active,460.5300000000002,3.6080200000000024,1.0,4.0,6.1249387366083
CHEMBL5405289,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cccnc3)cc2)cc1,inactive,419.48400000000015,2.6918000000000006,2.0,6.0,4.501000636419847
CHEMBL5429563,COc1ccc(S(=O)(=O)N(CC(=O)O)c2c(C)c(C)c(N(CC(=O)O)S(=O)(=O)c3cccnc3)c(C)c2C)cc1,active,591.6640000000001,2.883680000000001,2.0,8.0,6.7447274948966935
CHEMBL5438828,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3cccnc3)cc2)cc1,active,535.5560000000003,1.6499999999999988,2.0,8.0,6.050609993355087
